game_date,Home.Team,Away.Team,Period,Clock,Home.Team.Goals,Away.Team.Goals,Team,Player,type_name,start_x,start_y,game_id,success,end_x,end_y,xTa
2021-01-23,Minnesota Whitecaps,Boston Pride,1,20:00,0,0,Boston Pride,Jillian Dempsey,Faceoff,100,43,3,1,107,40,
2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:58,0,0,Boston Pride,McKenna Brand,Puck Recovery,107,40,3,1,125,28,
2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:57,0,0,Boston Pride,McKenna Brand,Zone Entry,125,28,3,1,131,28,0.0
2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:55,0,0,Boston Pride,McKenna Brand,Shot,131,28,3,0,169,21,
2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:53,0,0,Boston Pride,McKenna Brand,Faceoff,169,21,3,1,159,26,
2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:52,0,0,Boston Pride,Samantha Davis,Puck Recovery,159,26,3,1,3,49,
2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:50,0,0,Minnesota Whitecaps,Stephanie Anderson,Puck Recovery,101,31,3,1,125,6,
2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:48,0,0,Minnesota Whitecaps,Stephanie Anderson,Zone Entry,125,6,3,1,157,0,0.0002480786112862097
2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:47,0,0,Minnesota Whitecaps,Stephanie Anderson,Pass,157,0,3,1,198,38,0.011480503076942877
2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:43,0,0,Minnesota Whitecaps,Meghan Lorence,Pass,193,20,3,1,196,33,0.008633136294032137
2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:40,0,0,Boston Pride,Mallory Souliotis,Takeaway,3,49,3,1,3,49,
2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:40,0,0,Boston Pride,Mallory Souliotis,Pass,3,49,3,1,37,70,0.0012037221850931222
2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:37,0,0,Boston Pride,Taylor Wenczkowski,Dump In/Out,50,82,3,0,1,54,
2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:36,0,0,Minnesota Whitecaps,Sydney Baldwin,Puck Recovery,137,1,3,1,140,0,
2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:34,0,0,Minnesota Whitecaps,Sydney Baldwin,Pass,140,0,3,0,112,0,
2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:32,0,0,Boston Pride,Kaleigh Fratkin,Puck Recovery,1,54,3,1,12,33,
2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:30,0,0,Boston Pride,Mallory Souliotis,Puck Recovery,12,33,3,1,12,33,
