game_date,Home.Team,Away.Team,Period,Clock,Home.Team.Goals,Away.Team.Goals,Team,Player,type_name,start_x,start_y,game_id,success,end_x,end_y,xTa
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,20:00,0,0,Olympic (Women) - Canada,Emily Clark,Faceoff,100,42,1,1,91,67,
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:59,0,0,Olympic (Women) - Canada,Meaghan Mikkelson,Puck Recovery,91,67,1,1,106,81,
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:59,0,0,Olympic (Women) - Canada,Meaghan Mikkelson,Dump In/Out,106,81,1,0,106,81,
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:59,0,0,Olympic (Women) - Canada,Meaghan Mikkelson,Zone Entry,106,81,1,0,168,1,
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:53,0,0,Olympic (Women) - Canada,Sarah Nurse,Puck Recovery,168,1,1,1,168,1,
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:53,0,0,Olympic (Women) - Canada,Sarah Nurse,Pass,168,1,1,1,197,26,0.006825233648836552
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:43,0,0,Olympic (Women) - Olympic Athletes from Russia,Lyudmila Belyakova,Takeaway,4,64,1,1,4,64,
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:43,0,0,Olympic (Women) - Olympic Athletes from Russia,Lyudmila Belyakova,Pass,4,64,1,1,10,69,0.0
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:41,0,0,Olympic (Women) - Olympic Athletes from Russia,Maria Batalova,Pass,18,78,1,1,42,82,0.0006092727669501092
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:40,0,0,Olympic (Women) - Olympic Athletes from Russia,Olga Sosina,Pass,58,82,1,1,104,8,0.0008169901433606474
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:37,0,0,Olympic (Women) - Olympic Athletes from Russia,Valeria Pavlova,Zone Entry,124,2,1,1,18,53,-0.004013357189295802
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:36,0,0,Olympic (Women) - Canada,Meaghan Mikkelson,Puck Recovery,64,83,1,1,8,68,
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:32,0,0,Olympic (Women) - Canada,Meaghan Mikkelson,Pass,8,68,1,1,27,64,0.0005378257531776679
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:29,0,0,Olympic (Women) - Canada,Laura Stacey,Pass,68,56,1,1,83,10,-0.0007657016096319154
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:27,0,0,Olympic (Women) - Canada,Sarah Nurse,Dump In/Out,97,3,1,0,97,3,
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:27,0,0,Olympic (Women) - Canada,Sarah Nurse,Zone Entry,97,3,1,0,80,20,
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:26,0,0,Olympic (Women) - Canada,Sarah Nurse,Faceoff,80,20,1,1,61,21,
